ID,TIMESTAMP,TIMESTAMPGMT+1,Extraversion,Agreeableness,Conscientiousness,EmotionalStability,Creativity
539,1331304514,3/9/20123:48:00PM,3.5,4,5.5,6,4
539,1331310532,3/9/20125:28:00PM,2.5,5,6.5,6.5,5
533,1328004048,1/31/201211:00:00AM,4,4.5,6,5.5,4.5
533,1328016320,1/31/20122:25:00PM,4,5.5,4,5.5,5
533,1328026096,1/31/20125:08:00PM,3.5,5.5,4,6,5.5
533,1328090978,2/1/201211:09:00AM,3.5,6,6.5,6,5
533,1328102920,2/1/20122:28:00PM,4,5,6,6,5
533,1328112861,2/1/20125:14:00PM,3,5,5.5,5.5,4.5
533,1328188193,2/2/20122:09:00PM,4.5,5.5,5.5,6,3.5
533,1328202523,2/2/20126:08:00PM,2.5,5,5.5,5,4
533,1328276240,2/3/20122:37:00PM,4,5,6.5,6,5.5
533,1328286761,2/3/20125:32:00PM,4,5.5,6,6,5.5
533,1328608954,2/7/201211:02:00AM,4,4,4,4,4
533,1328620956,2/7/20122:22:00PM,4,5,5,4.5,4
533,1328630436,2/7/20125:00:00PM,3,5,5,5,5
533,1328695479,2/8/201211:04:00AM,3.5,5,4.5,5.5,3.5
533,1328717399,2/8/20125:09:00PM,4,4.5,5.5,4.5,5
533,1328793640,2/9/20122:20:00PM,4,5,5,6,4.5
533,1328804299,2/9/20125:18:00PM,3.5,4.5,4,5,4
533,1328869107,2/10/201211:18:00AM,3.5,5,5.5,5,4
533,1328878927,2/10/20122:02:00PM,4,4,4.5,4,4
533,1329128346,2/13/201211:19:00AM,3.5,5,5,5,4
533,1329141050,2/13/20122:50:00PM,2.5,4.5,5,5,5
533,1329151730,2/13/20125:48:00PM,2.5,3.5,5.5,5.5,5.5
533,1329217285,2/14/201212:01:00PM,3.5,5,5.5,6,5.5
533,1329224584,2/14/20122:03:00PM,3.5,5,4.5,5,4
533,1329237207,2/14/20125:33:00PM,4,5,5.5,5,4.5
533,1329302536,2/15/201211:42:00AM,3,5,4.5,5,4.5
533,1329317050,2/15/20123:44:00PM,4,4.5,5,5,4
533,1329325262,2/15/20126:01:00PM,4,4.5,4.5,4.5,5
533,1329387410,2/16/201211:16:00AM,4,5,5.5,5.5,3.5
533,1329477908,2/17/201212:25:00PM,4,5,5.5,5,6
533,1329486812,2/17/20122:53:00PM,5,5,5.5,4.5,4
533,1329495551,2/17/20125:19:00PM,3.5,5,4,5.5,4.5
533,1329735008,2/20/201211:50:00AM,4,5,5.5,5.5,4
533,1329745842,2/20/20122:50:00PM,4,5,4.5,5.5,4.5
533,1329755911,2/20/20125:38:00PM,4,5,4.5,5.5,3.5
533,1329823756,2/21/201212:29:00PM,5,4.5,5.5,6,4.5
533,1329836980,2/21/20124:09:00PM,4,5,5,5,4
533,1329844858,2/21/20126:20:00PM,4,5.5,5,5.5,5
533,1329907503,2/22/201211:45:00AM,3.5,5.5,6,6,4.5
533,1329922860,2/22/20124:01:00PM,3.5,4,5.5,5.5,5
533,1329928181,2/22/20125:29:00PM,5,5,5,5,4
533,1329993873,2/23/201211:44:00AM,3.5,5,5,5.5,4
533,1330009690,2/23/20124:08:00PM,4,4.5,5,5,5.5
533,1330015537,2/23/20125:45:00PM,4,4.5,5,5,5
533,1330083000,2/24/201212:30:00PM,4,4.5,4.5,5.5,4
533,1330093992,2/24/20123:33:00PM,3.5,4.5,5,5,5
533,1330100633,2/24/20125:23:00PM,4.5,5,5,5,4
533,1330339090,2/27/201211:38:00AM,3.5,5,5,6,3.5
533,1330350088,2/27/20122:41:00PM,5.5,5.5,5.5,5.5,4
533,1330428314,2/28/201212:25:00PM,3.5,5,5,5.5,4.5
533,1330441937,2/28/20124:12:00PM,3.5,5.5,5,5.5,4
533,1330449156,2/28/20126:12:00PM,4,5,5,5.5,4.5
533,1330513099,2/29/201211:58:00AM,3.5,5,4,5.5,4
533,1330525619,2/29/20123:26:00PM,4,5,5,4.5,3.5
533,1330535688,2/29/20126:14:00PM,3.5,4,4.5,4.5,4.5
533,1330608903,3/1/20122:35:00PM,3.5,5,5,4.5,3.5
533,1330621816,3/1/20126:10:00PM,4,5,5.5,5.5,5
533,1330708281,3/2/20126:11:00PM,4,3,5.5,6,4.5
533,1330945708,3/5/201212:08:00PM,4,5.5,5.5,6,5
533,1330967738,3/5/20126:15:00PM,3.5,5.5,5.5,6,4.5
533,1331032438,3/6/201212:13:00PM,4,4,5,5.5,3.5
533,1331046836,3/6/20124:13:00PM,4,4.5,5.5,5.5,5
533,1331055527,3/6/20126:38:00PM,3.5,5.5,5.5,5.5,5.5
533,1331132122,3/7/20123:55:00PM,2.5,5.5,5,5.5,4.5
533,1331143185,3/7/20126:59:00PM,4,4.5,5,3.5,5
533,1331219840,3/8/20124:17:00PM,4.5,4.5,5,5.5,4
533,1331228749,3/8/20126:45:00PM,4,5.5,6,5.5,5.5
540,1327918437,1/30/201211:13:00AM,4,4.5,5,5,4
540,1327929873,1/30/20122:24:00PM,3.5,4.5,4.5,5.5,4.5
540,1327942317,1/30/20125:51:00PM,3.5,4.5,4.5,5,4
540,1328004106,1/31/201211:01:00AM,2.5,4,5,5,4
540,1328020330,1/31/20123:32:00PM,3.5,4.5,5,5.5,3.5
540,1328029564,1/31/20126:06:00PM,3.5,4.5,5.5,5.5,4.5
540,1328094378,2/1/201212:06:00PM,4,5,5,5.5,4.5
540,1328102060,2/1/20122:14:00PM,5,4.5,4.5,5.5,3.5
540,1328112214,2/1/20125:03:00PM,2.5,5,5.5,5.5,2.5
540,1328177424,2/2/201211:10:00AM,3.5,5,5.5,5.5,4.5
540,1328189286,2/2/20122:28:00PM,3,5,5,5,3.5
540,1328200460,2/2/20125:34:00PM,4,5,5,5.5,4.5
540,1328264939,2/3/201211:28:00AM,3.5,4.5,5.5,5,3.5
540,1328277482,2/3/20122:58:00PM,3,4.5,5.5,5,3.5
540,1328285412,2/3/20125:10:00PM,2.5,5,5.5,5.5,3.5
540,1328534532,2/6/20122:22:00PM,4,5,5,5.5,4
540,1328544786,2/6/20125:13:00PM,4,4.5,5.5,5.5,3.5
540,1328617295,2/7/20121:21:00PM,4,4.5,5,5.5,4.5
540,1328621096,2/7/20122:24:00PM,3,4.5,5.5,5.5,4
540,1328630525,2/7/20125:02:00PM,3,5,4,6,3.5
540,1328696764,2/8/201211:26:00AM,4,4.5,5,5.5,3.5
540,1328706134,2/8/20122:02:00PM,4,4.5,5,5.5,3
540,1328718920,2/8/20125:35:00PM,3,5.5,4.5,5.5,3.5
540,1328782686,2/9/201211:18:00AM,4,5.5,5.5,5.5,4
540,1328793263,2/9/20122:14:00PM,3.5,4.5,5,5.5,3.5
540,1328805283,2/9/20125:34:00PM,3.5,4,5.5,5.5,4
540,1328869079,2/10/201211:17:00AM,4,5,5.5,5.5,3.5
540,1329130060,2/13/201211:47:00AM,3.5,5,5.5,5.5,4
540,1329140081,2/13/20122:34:00PM,4,5,5.5,5.5,4
540,1329222385,2/14/20121:26:00PM,3,4.5,4,5.5,4.5
540,1329235724,2/14/20125:08:00PM,4,4.5,5.5,5,4
540,1329300721,2/15/201211:12:00AM,4,5,5.5,5.5,3.5
540,1329314593,2/15/20123:03:00PM,4,4.5,5,5.5,3.5
540,1329321747,2/15/20125:02:00PM,4,5,5.5,5.5,3.5
540,1329394182,2/16/20121:09:00PM,4.5,5,5.5,5.5,4.5
540,1329404523,2/16/20124:02:00PM,4,5,5,5.5,4
540,1329410835,2/16/20125:47:00PM,4,5,5.5,5.5,4.5
540,1329476359,2/17/201211:59:00AM,4,5,5.5,5,4.5
540,1329497475,2/17/20125:51:00PM,3.5,5,5.5,5.5,4
540,1329733123,2/20/201211:18:00AM,3,5,5.5,5.5,3.5
540,1329748047,2/20/20123:27:00PM,3,5,5.5,5.5,3.5
540,1329840077,2/21/20125:01:00PM,3.5,5,5.5,5,3
540,1329907484,2/22/201211:44:00AM,6,4.5,5,5.5,5
540,1329915645,2/22/20122:00:00PM,5,4.5,5,5,5
540,1329930548,2/22/20126:09:00PM,3.5,5,5,5.5,4
540,1330008592,2/23/20123:49:00PM,4,4.5,5,5.5,4
540,1330092931,2/24/20123:15:00PM,4,4.5,5.5,5.5,4.5
540,1330527656,2/29/20124:00:00PM,3.5,5,5,5,5
540,1330960871,3/5/20124:21:00PM,4.5,4,5.5,5.5,4
540,1331044611,3/6/20123:36:00PM,3.5,5,5.5,5,4
540,1331291592,3/9/201212:13:00PM,2.5,5.5,5,4,2.5
540,1331306010,3/9/20124:13:00PM,2.5,5,5,5.5,3.5
540,1331309137,3/9/20125:05:00PM,3,4.5,4.5,5.5,2.5
508,1327928487,1/30/20122:01:00PM,5,5,4,6,4.5
508,1327939371,1/30/20125:02:00PM,3.5,5,5,5.5,5
508,1328092056,2/1/201211:27:00AM,5.5,4,5.5,5.5,4.5
508,1328178537,2/2/201211:28:00AM,2.5,4,4.5,4,4
508,1328189352,2/2/20122:29:00PM,5,5,4.5,3.5,5.5
508,1328199332,2/2/20125:15:00PM,3.5,4,5,2.5,5.5
508,1328265137,2/3/201211:32:00AM,2.5,5,5,4.5,3
508,1329127520,2/13/201211:05:00AM,4,5.5,5,5.5,5
508,1329139379,2/13/20122:22:00PM,4.5,4.5,4.5,3.5,4.5
508,1329217095,2/14/201211:58:00AM,3,4,3.5,5,4.5
508,1329225131,2/14/20122:12:00PM,3.5,5,3.5,4.5,4
508,1329302901,2/15/201211:48:00AM,4,2.5,5,5,5
508,1329310837,2/15/20122:00:00PM,3.5,3.5,4,3.5,4
508,1329388371,2/16/201211:32:00AM,4,3,3.5,4.5,4.5
508,1329398005,2/16/20122:13:00PM,4.5,5,3.5,3,3.5
508,1329408585,2/16/20125:09:00PM,5,3.5,4,3,3.5
508,1329475033,2/17/201211:37:00AM,5,4,5,4.5,3.5
508,1329487118,2/17/20122:58:00PM,3,4,3.5,4,4.5
508,1329495432,2/17/20125:17:00PM,3,4,4,3.5,4.5
508,1329735030,2/20/201211:50:00AM,6,5.5,6,5,6
508,1329745740,2/20/20122:49:00PM,6,5.5,3,4.5,6
508,1329754264,2/20/20125:11:00PM,5,3.5,2.5,5,5
508,1329819753,2/21/201211:22:00AM,3,3.5,6,3.5,5
508,1329832395,2/21/20122:53:00PM,4,4,2,3,5
508,1329842434,2/21/20125:40:00PM,5.5,4,4,5,3.5
508,1329906743,2/22/201211:32:00AM,4.5,4,4,3.5,5
508,1329992639,2/23/201211:23:00AM,4,4.5,3.5,3.5,5
508,1330008438,2/23/20123:47:00PM,3.5,3.5,3,5.5,3.5
508,1330021666,2/23/20127:27:00PM,3.5,4,4.5,3.5,5.5
508,1330077953,2/24/201211:05:00AM,2.5,4,3.5,3,4
508,1330089462,2/24/20122:17:00PM,2.5,3,3.5,4,4
508,1330106511,2/24/20127:01:00PM,4.5,4.5,5,4.5,5
508,1330338105,2/27/201211:21:00AM,3.5,5,4,4,4
508,1330349650,2/27/20122:34:00PM,4.5,4.5,2.5,5,4.5
508,1330361932,2/27/20125:58:00PM,5.5,5,3.5,4.5,5.5
508,1330426521,2/28/201211:55:00AM,3,2.5,3.5,5,3
508,1330440036,2/28/20123:40:00PM,4.5,2.5,3,3,6
508,1330522284,2/29/20122:31:00PM,6,3.5,3.5,4,6
508,1330534615,2/29/20125:56:00PM,4.5,3,4.5,4.5,5
508,1330693714,3/2/20122:08:00PM,4.5,4,3,5.5,3.5
508,1330944754,3/5/201211:52:00AM,6,3.5,5,6,4
508,1330956255,3/5/20123:04:00PM,4,3.5,4,5.5,3.5
508,1330964829,3/5/20125:27:00PM,4.5,3,3.5,5.5,3.5
508,1331039916,3/6/20122:18:00PM,6,3.5,2.5,4.5,6
508,1331125367,3/7/20122:02:00PM,2,3.5,3,4,2.5
508,1331212258,3/8/20122:10:00PM,3.5,4,2.5,5,6
508,1331224729,3/8/20125:38:00PM,2.5,5.5,5.5,6,4
508,1331298687,3/9/20122:11:00PM,4,3.5,3.5,4.5,5.5
508,1331316972,3/9/20127:16:00PM,3.5,4,2.5,3,4.5
516,1327917867,1/30/201211:04:00AM,4,5.5,5.5,6.5,3.5
516,1327928554,1/30/20122:02:00PM,2.5,5,4,6.5,3.5
516,1327939339,1/30/20125:02:00PM,5,5.5,5.5,6.5,3
516,1328004209,1/31/201211:03:00AM,4,5.5,5.5,6.5,3.5
516,1328017512,1/31/20122:45:00PM,6,5,5.5,6,3.5
516,1328026273,1/31/20125:11:00PM,2.5,4.5,5.5,6,4
516,1328093347,2/1/201211:49:00AM,5,5,6,6.5,4.5
516,1328112928,2/1/20125:15:00PM,2.5,5,4.5,6,4
516,1328177097,2/2/201211:04:00AM,2.5,5.5,4.5,6.5,3.5
516,1328190894,2/2/20122:54:00PM,4.5,3,4.5,5.5,4
516,1328200046,2/2/20125:27:00PM,3.5,5.5,5.5,6,4
516,1328264116,2/3/201211:15:00AM,3,5.5,5,5,3.5
516,1328284886,2/3/20125:01:00PM,2.5,5.5,4,6,4
516,1328523580,2/6/201211:19:00AM,3,5.5,5.5,6.5,4.5
516,1328534193,2/6/20122:16:00PM,2.5,5.5,4,6,3.5
516,1328544179,2/6/20125:02:00PM,2.5,5.5,5,6.5,4
516,1328610288,2/7/201211:24:00AM,2.5,5.5,5.5,6.5,4
516,1328623414,2/7/20123:03:00PM,5,5.5,5,6,4.5
516,1328632137,2/7/20125:28:00PM,3,5.5,6.5,6.5,3
516,1328696860,2/8/201211:27:00AM,2.5,5.5,6,6.5,3
516,1328707452,2/8/20122:24:00PM,2,5.5,6,6.5,3
516,1328717344,2/8/20125:09:00PM,3.5,5.5,6,6.5,4
516,1328782225,2/9/201211:10:00AM,2.5,5.5,6,6.5,3.5
516,1328795963,2/9/20122:59:00PM,5,4.5,5.5,6,4
516,1328804080,2/9/20125:14:00PM,2.5,5.5,6,6.5,3
516,1328870323,2/10/201211:38:00AM,6,4.5,6,5.5,4.5
516,1328880624,2/10/20122:30:00PM,5.5,4.5,5.5,6,5
516,1328890454,2/10/20125:14:00PM,2.5,5.5,6,6.5,3
516,1329130156,2/13/201211:49:00AM,5.5,5.5,5.5,6,4
516,1329149866,2/13/20125:17:00PM,5.5,5.5,6,6,4.5
516,1329216401,2/14/201211:46:00AM,5.5,6,4.5,6,5
516,1329227111,2/14/20122:45:00PM,6,6,5.5,6,5
516,1329236972,2/14/20125:29:00PM,5,6,5.5,6,4
516,1329302210,2/15/201211:36:00AM,2.5,6,5.5,6.5,4.5
516,1329322288,2/15/20125:11:00PM,2.5,5.5,5.5,6,4
516,1329390149,2/16/201212:02:00PM,5,6,5.5,6,5
516,1329397458,2/16/20122:04:00PM,4.5,6,5.5,5,4
516,1329408087,2/16/20125:01:00PM,2.5,4.5,3,6,3.5
516,1329477959,2/17/201212:25:00PM,6.5,3.5,5.5,6.5,5
516,1329483756,2/17/20122:02:00PM,2.5,5.5,5,6.5,4
516,1329495582,2/17/20125:19:00PM,2,5.5,6,6.5,5.5
516,1329735691,2/20/201212:01:00PM,5,4,6,6.5,4
516,1329743165,2/20/20122:06:00PM,3,5.5,5.5,6.5,3.5
516,1329760037,2/20/20126:47:00PM,2.5,5.5,6,6.5,3.5
516,1329820936,2/21/201211:42:00AM,2,5,6,6.5,3.5
516,1329830477,2/21/20122:21:00PM,2,5.5,3.5,6,3.5
516,1329842724,2/21/20125:45:00PM,4.5,5,5,6.5,3.5
516,1329905384,2/22/201211:09:00AM,2.5,5.5,6,6,5
516,1329917832,2/22/20122:37:00PM,3,5.5,4.5,4.5,4
516,1329995398,2/23/201212:09:00PM,5,5,5.5,6,5
516,1330007816,2/23/20123:36:00PM,5.5,5.5,6,6,5
516,1330013346,2/23/20125:09:00PM,5,5,6,6,4.5
516,1330078649,2/24/201211:17:00AM,3,5.5,6,6.5,3.5
516,1330089892,2/24/20122:24:00PM,3,5.5,6.5,6.5,4
516,1330100212,2/24/20125:16:00PM,3,5.5,6,6.5,4
516,1330337169,2/27/201211:06:00AM,3,5.5,6,6.5,3
516,1330348425,2/27/20122:13:00PM,3,4,5,6,3.5
516,1330363605,2/27/20126:26:00PM,4.5,5.5,5.5,6,4.5
516,1330423365,2/28/201211:02:00AM,5.5,6,5.5,6,5
516,1330436890,2/28/20122:48:00PM,5.5,5.5,4,6,4.5
516,1330446985,2/28/20125:36:00PM,2.5,5.5,5.5,6.5,4
516,1330511561,2/29/201211:32:00AM,2.5,5.5,5.5,6.5,3.5
516,1330524707,2/29/20123:11:00PM,4.5,3.5,5.5,5,4.5
516,1330533002,2/29/20125:30:00PM,3,5.5,5.5,6,3.5
516,1330596242,3/1/201211:04:00AM,6,6,5,6,5
516,1330613625,3/1/20123:53:00PM,3,5.5,5,6,4
516,1330621781,3/1/20126:09:00PM,5,5.5,5.5,6,4
516,1330700691,3/2/20124:04:00PM,3,5.5,6,6.5,3.5
516,1330705443,3/2/20125:24:00PM,5.5,6.5,5.5,6,6
516,1330712604,3/2/20127:23:00PM,3,5.5,5.5,6,3.5
516,1330942405,3/5/201211:13:00AM,5.5,6,5.5,6,4.5
516,1330954109,3/5/20122:28:00PM,3,5.5,5,6,4.5
516,1330963581,3/5/20125:06:00PM,5.5,6,5.5,6,5
516,1331035599,3/6/20121:06:00PM,2.5,4.5,4.5,6,4.5
516,1331041826,3/6/20122:50:00PM,5.5,5.5,5,6,4.5
516,1331050147,3/6/20125:09:00PM,3,5.5,5,6,4
516,1331116652,3/7/201211:37:00AM,2.5,5.5,6,6,4
516,1331125684,3/7/20122:08:00PM,4,4.5,4,6,4
516,1331136509,3/7/20125:08:00PM,3,5.5,5,6,4.5
516,1331201359,3/8/201211:09:00AM,3.5,5.5,5,6,3.5
516,1331219517,3/8/20124:11:00PM,5,5.5,5.5,6,4
516,1331222657,3/8/20125:04:00PM,4,5.5,5,4,4
516,1331290006,3/9/201211:46:00AM,5.5,6,4.5,6,5
516,1331302554,3/9/20123:15:00PM,4,3,4.5,5,3
516,1331312764,3/9/20126:06:00PM,5.5,6,5.5,6,5
517,1327918235,1/30/201211:10:00AM,2,4,5,6,2.5
517,1327929506,1/30/20122:18:00PM,4.5,5,5,5.5,4
517,1327939787,1/30/20125:09:00PM,4,5,5.5,5,5
517,1328004177,1/31/201211:02:00AM,4.5,5,5.5,3.5,5
517,1328015271,1/31/20122:07:00PM,4.5,5.5,5.5,5,3.5
517,1328031399,1/31/20126:36:00PM,4.5,4.5,4.5,5,5
517,1329128240,2/13/201211:17:00AM,3,5,4.5,5,3.5
517,1329141014,2/13/20122:50:00PM,3,5,5.5,5.5,4
517,1329149032,2/13/20125:03:00PM,2.5,5,6,6,5
517,1329218532,2/14/201212:22:00PM,3,4,4.5,5.5,5
517,1329226146,2/14/20122:29:00PM,3,3,6,3,3.5
517,1329239511,2/14/20126:11:00PM,5.5,5,5.5,5,5.5
517,1329302474,2/15/201211:41:00AM,4.5,4.5,5.5,5.5,4.5
517,1329311741,2/15/20122:15:00PM,3,3,4.5,3.5,3.5
517,1329325671,2/15/20126:07:00PM,3.5,4.5,5,3.5,6
517,1329390254,2/16/201212:04:00PM,5,5,5.5,3.5,5
517,1329398695,2/16/20122:24:00PM,3.5,5,5.5,4,5
517,1329408736,2/16/20125:12:00PM,3,4.5,5,3.5,5
517,1329486174,2/17/20122:42:00PM,5.5,5,5,5.5,5
517,1329495757,2/17/20125:22:00PM,3.5,4.5,5.5,3.5,4.5
517,1329732851,2/20/201211:14:00AM,3,4.5,5,4,4.5
517,1329744120,2/20/20122:22:00PM,5.5,5,6,4,5
517,1329754338,2/20/20125:12:00PM,3.5,4.5,4.5,5,4
517,1329818736,2/21/201211:05:00AM,3.5,5,6,5,5
517,1329831243,2/21/20122:34:00PM,3,4,4.5,4,3
517,1329843396,2/21/20125:56:00PM,3.5,5,5.5,5,5
517,1329905930,2/22/201211:18:00AM,4.5,4.5,5.5,3.5,3.5
517,1329918093,2/22/20122:41:00PM,3,5,5.5,3.5,4.5
517,1329993438,2/23/201211:37:00AM,4,5,5.5,5,4.5
517,1330337594,2/27/201211:13:00AM,4.5,5,6,5,5
517,1330348332,2/27/20122:12:00PM,3.5,5,5,5,4
517,1330360161,2/27/20125:29:00PM,4.5,4.5,6,5,5
517,1330423716,2/28/201211:08:00AM,3.5,4.5,5.5,4,5
517,1330434228,2/28/20122:03:00PM,3,5,5.5,5.5,4.5
517,1330444902,2/28/20125:01:00PM,3.5,4.5,5.5,4,5
517,1330525530,2/29/20123:25:00PM,3.5,5.5,5,5.5,4.5
517,1330533598,2/29/20125:39:00PM,4.5,4.5,5,3.5,5
517,1330598015,3/1/201211:33:00AM,3,3.5,6,5.5,5
517,1330608650,3/1/20122:30:00PM,3.5,5,6,5,4.5
517,1330619796,3/1/20125:36:00PM,3.5,5,6,6,4.5
517,1330697458,3/2/20123:10:00PM,3.5,5.5,6,6,5
517,1330943773,3/5/201211:36:00AM,3.5,5.5,5.5,5,5
517,1330957422,3/5/20123:23:00PM,3,4.5,5,4,3.5
517,1330965659,3/5/20125:40:00PM,3,4.5,5.5,5.5,4.5
517,1331028151,3/6/201211:02:00AM,3,4.5,5.5,3.5,4
517,1331039034,3/6/20122:03:00PM,4.5,5.5,5,5.5,4.5
517,1331052063,3/6/20125:41:00PM,3,4.5,6,3.5,4.5
517,1331122540,3/7/20121:15:00PM,5.5,5,5.5,5,5
517,1331125472,3/7/20122:04:00PM,5,5,6,5,4.5
517,1331141706,3/7/20126:35:00PM,4,5,5.5,4.5,5
517,1331204409,3/8/201212:00:00PM,3.5,5,5,5.5,4
517,1331211942,3/8/20122:05:00PM,5,5,6,5.5,5
517,1331224289,3/8/20125:31:00PM,3,5,5,4,5
517,1331290780,3/9/201211:59:00AM,4.5,5,6,5.5,3
517,1331300382,3/9/20122:39:00PM,3,5,6,5,5
517,1331312164,3/9/20125:56:00PM,3.5,4.5,3.5,5.5,3
518,1327917655,1/30/201211:00:00AM,2,5.5,6,5,3
518,1327928433,1/30/20122:00:00PM,3,5.5,6,6.5,3.5
518,1327939294,1/30/20125:01:00PM,3.5,5.5,5.5,6,3.5
518,1328004795,1/31/201211:13:00AM,3.5,5.5,6.5,6.5,3.5
518,1328026319,1/31/20125:11:00PM,3.5,5.5,5.5,6,3.5
518,1328090523,2/1/201211:02:00AM,3.5,5.5,6.5,6.5,4
518,1328101625,2/1/20122:07:00PM,3.5,5,5.5,6.5,3.5
518,1328112078,2/1/20125:01:00PM,2.5,4,6.5,5,4
518,1328178507,2/2/201211:28:00AM,3,5.5,6.5,6,3.5
518,1328198937,2/2/20125:08:00PM,3,5.5,5.5,6,4
518,1328264442,2/3/201211:20:00AM,3.5,5.5,6.5,6.5,4
518,1328284902,2/3/20125:01:00PM,3,5.5,5.5,6.5,4
518,1328695233,2/8/201211:00:00AM,2,5.5,6,6,4
518,1328717209,2/8/20125:06:00PM,3,5.5,5.5,6,4
